customer_id,customer_name,email,city,state,signup_date,customer_segment
1,Customer 1,customer1@example.com,Chennai,Tamil Nadu,2026-01-04,Premium
2,Customer 2,customer2@example.com,Bengaluru,Karnataka,2026-02-07,Corporate
3,Customer 3,customer3@example.com,Hyderabad,Telangana,2026-03-10,Standard
4,Customer 4,customer4@example.com,Mumbai,Maharashtra,2026-04-13,Premium
5,Customer 5,customer5@example.com,Pune,Maharashtra,2026-05-16,Corporate
6,Customer 6,customer6@example.com,Kochi,Kerala,2026-06-19,Standard
7,Customer 7,customer7@example.com,Chennai,Tamil Nadu,2026-07-22,Premium
8,Customer 8,customer8@example.com,Bengaluru,Karnataka,2026-08-25,Corporate
9,Customer 9,customer9@example.com,Hyderabad,Telangana,2026-01-01,Standard
10,Customer 10,customer10@example.com,Mumbai,Maharashtra,2026-02-04,Premium
11,Customer 11,customer11@example.com,Pune,Maharashtra,2026-03-07,Corporate
12,Customer 12,customer12@example.com,Kochi,Kerala,2026-04-10,Standard
13,Customer 13,customer13@example.com,Chennai,Tamil Nadu,2026-05-13,Premium
14,Customer 14,customer14@example.com,Bengaluru,Karnataka,2026-06-16,Corporate
15,Customer 15,customer15@example.com,Hyderabad,Telangana,2026-07-19,Standard
16,Customer 16,customer16@example.com,Mumbai,Maharashtra,2026-08-22,Premium
17,Customer 17,customer17@example.com,Pune,Maharashtra,2026-01-25,Corporate
18,Customer 18,customer18@example.com,Kochi,Kerala,2026-02-01,Standard
19,Customer 19,customer19@example.com,Chennai,Tamil Nadu,2026-03-04,Premium
20,Customer 20,customer20@example.com,Bengaluru,Karnataka,2026-04-07,Corporate
21,Customer 21,customer21@example.com,Hyderabad,Telangana,2026-05-10,Standard
22,Customer 22,customer22@example.com,Mumbai,Maharashtra,2026-06-13,Premium
23,Customer 23,customer23@example.com,Pune,Maharashtra,2026-07-16,Corporate
24,Customer 24,customer24@example.com,Kochi,Kerala,2026-08-19,Standard
25,Customer 25,customer25@example.com,Chennai,Tamil Nadu,2026-01-22,Premium
26,Customer 26,customer26@example.com,Bengaluru,Karnataka,2026-02-25,Corporate
27,Customer 27,customer27@example.com,Hyderabad,Telangana,2026-03-01,Standard
28,Customer 28,customer28@example.com,Mumbai,Maharashtra,2026-04-04,Premium
29,Customer 29,customer29@example.com,Pune,Maharashtra,2026-05-07,Corporate
30,Customer 30,customer30@example.com,Kochi,Kerala,2026-06-10,Standard
31,Customer 31,customer31@example.com,Chennai,Tamil Nadu,2026-07-13,Premium
32,Customer 32,customer32@example.com,Bengaluru,Karnataka,2026-08-16,Corporate
33,Customer 33,customer33@example.com,Hyderabad,Telangana,2026-01-19,Standard
34,Customer 34,customer34@example.com,Mumbai,Maharashtra,2026-02-22,Premium
35,Customer 35,customer35@example.com,Pune,Maharashtra,2026-03-25,Corporate
36,Customer 36,customer36@example.com,Kochi,Kerala,2026-04-01,Standard
37,Customer 37,customer37@example.com,Chennai,Tamil Nadu,2026-05-04,Premium
38,Customer 38,customer38@example.com,Bengaluru,Karnataka,2026-06-07,Corporate
39,Customer 39,customer39@example.com,Hyderabad,Telangana,2026-07-10,Standard
40,Customer 40,customer40@example.com,Mumbai,Maharashtra,2026-08-13,Premium
41,Customer 41,customer41@example.com,Pune,Maharashtra,2026-01-16,Corporate
42,Customer 42,customer42@example.com,Kochi,Kerala,2026-02-19,Standard
43,Customer 43,customer43@example.com,Chennai,Tamil Nadu,2026-03-22,Premium
44,Customer 44,customer44@example.com,Bengaluru,Karnataka,2026-04-25,Corporate
45,Customer 45,customer45@example.com,Hyderabad,Telangana,2026-05-01,Standard
46,Customer 46,customer46@example.com,Mumbai,Maharashtra,2026-06-04,Premium
47,Customer 47,customer47@example.com,Pune,Maharashtra,2026-07-07,Corporate
48,Customer 48,customer48@example.com,Kochi,Kerala,2026-08-10,Standard
49,Customer 49,customer49@example.com,Chennai,Tamil Nadu,2026-01-13,Premium
50,Customer 50,customer50@example.com,Bengaluru,Karnataka,2026-02-16,Corporate
51,Customer 51,customer51@example.com,Hyderabad,Telangana,2026-03-19,Standard
52,Customer 52,customer52@example.com,Mumbai,Maharashtra,2026-04-22,Premium
53,Customer 53,customer53@example.com,Pune,Maharashtra,2026-05-25,Corporate
54,Customer 54,customer54@example.com,Kochi,Kerala,2026-06-01,Standard
55,Customer 55,customer55@example.com,Chennai,Tamil Nadu,2026-07-04,Premium
56,Customer 56,customer56@example.com,Bengaluru,Karnataka,2026-08-07,Corporate
57,Customer 57,customer57@example.com,Hyderabad,Telangana,2026-01-10,Standard
58,Customer 58,customer58@example.com,Mumbai,Maharashtra,2026-02-13,Premium
59,Customer 59,customer59@example.com,Pune,Maharashtra,2026-03-16,Corporate
60,Customer 60,customer60@example.com,Kochi,Kerala,2026-04-19,Standard
61,Customer 61,customer61@example.com,Chennai,Tamil Nadu,2026-05-22,Premium
62,Customer 62,customer62@example.com,Bengaluru,Karnataka,2026-06-25,Corporate
63,Customer 63,customer63@example.com,Hyderabad,Telangana,2026-07-01,Standard
64,Customer 64,customer64@example.com,Mumbai,Maharashtra,2026-08-04,Premium
65,Customer 65,customer65@example.com,Pune,Maharashtra,2026-01-07,Corporate
66,Customer 66,customer66@example.com,Kochi,Kerala,2026-02-10,Standard
67,Customer 67,customer67@example.com,Chennai,Tamil Nadu,2026-03-13,Premium
68,Customer 68,customer68@example.com,Bengaluru,Karnataka,2026-04-16,Corporate
69,Customer 69,customer69@example.com,Hyderabad,Telangana,2026-05-19,Standard
70,Customer 70,customer70@example.com,Mumbai,Maharashtra,2026-06-22,Premium
71,Customer 71,customer71@example.com,Pune,Maharashtra,2026-07-25,Corporate
72,Customer 72,customer72@example.com,Kochi,Kerala,2026-08-01,Standard
73,Customer 73,customer73@example.com,Chennai,Tamil Nadu,2026-01-04,Premium
74,Customer 74,customer74@example.com,Bengaluru,Karnataka,2026-02-07,Corporate
75,Customer 75,customer75@example.com,Hyderabad,Telangana,2026-03-10,Standard
76,Customer 76,customer76@example.com,Mumbai,Maharashtra,2026-04-13,Premium
77,Customer 77,customer77@example.com,Pune,Maharashtra,2026-05-16,Corporate
78,Customer 78,customer78@example.com,Kochi,Kerala,2026-06-19,Standard
79,Customer 79,customer79@example.com,Chennai,Tamil Nadu,2026-07-22,Premium
80,Customer 80,customer80@example.com,Bengaluru,Karnataka,2026-08-25,Corporate
81,Customer 81,customer81@example.com,Hyderabad,Telangana,2026-01-01,Standard
82,Customer 82,customer82@example.com,Mumbai,Maharashtra,2026-02-04,Premium
83,Customer 83,customer83@example.com,Pune,Maharashtra,2026-03-07,Corporate
84,Customer 84,customer84@example.com,Kochi,Kerala,2026-04-10,Standard
85,Customer 85,customer85@example.com,Chennai,Tamil Nadu,2026-05-13,Premium
86,Customer 86,customer86@example.com,Bengaluru,Karnataka,2026-06-16,Corporate
87,Customer 87,customer87@example.com,Hyderabad,Telangana,2026-07-19,Standard
88,Customer 88,customer88@example.com,Mumbai,Maharashtra,2026-08-22,Premium
89,Customer 89,customer89@example.com,Pune,Maharashtra,2026-01-25,Corporate
90,Customer 90,customer90@example.com,Kochi,Kerala,2026-02-01,Standard
91,Customer 91,customer91@example.com,Chennai,Tamil Nadu,2026-03-04,Premium
92,Customer 92,customer92@example.com,Bengaluru,Karnataka,2026-04-07,Corporate
93,Customer 93,customer93@example.com,Hyderabad,Telangana,2026-05-10,Standard
94,Customer 94,customer94@example.com,Mumbai,Maharashtra,2026-06-13,Premium
95,Customer 95,customer95@example.com,Pune,Maharashtra,2026-07-16,Corporate
96,Customer 96,customer96@example.com,Kochi,Kerala,2026-08-19,Standard
97,Customer 97,customer97@example.com,Chennai,Tamil Nadu,2026-01-22,Premium
98,Customer 98,customer98@example.com,Bengaluru,Karnataka,2026-02-25,Corporate
99,Customer 99,customer99@example.com,Hyderabad,Telangana,2026-03-01,Standard
100,Customer 100,customer100@example.com,Mumbai,Maharashtra,2026-04-04,Premium
